1.00	-0.10	0.10	0.42	0.60	0.42	0.57	0.47	0.18	0.11	0.31	-0.19
-0.10	1.00	0.48	0.59	0.41	0.48	0.47	0.45	0.18	0.05	0.30	-0.05
0.10	0.48	1.00	0.69	0.55	0.46	0.35	0.41	0.10	0.16	0.44	0.10
0.42	0.59	0.69	1.00	0.75	0.75	0.66	0.65	0.27	0.08	0.61	-0.06
0.60	0.41	0.55	0.75	1.00	0.54	0.74	0.85	0.09	0.33	0.49	-0.35
0.42	0.48	0.46	0.75	0.54	1.00	0.57	0.49	0.49	-0.17	0.59	0.07
0.57	0.47	0.35	0.66	0.74	0.57	1.00	0.72	0.33	0.21	0.36	-0.29
0.47	0.45	0.41	0.65	0.85	0.49	0.72	1.00	0.15	0.40	0.40	-0.46
0.18	0.18	0.10	0.27	0.09	0.49	0.33	0.15	1.00	-037	0.47	0.25
0.11	0.05	0.16	0.08	0.33	-0.17	0.21	0.40	-0.37	1.00	-0.38	-0.71
0.31	0.30	0.44	0.61	0.49	0.59	0.36	0.40	0.47	-0.38	1.00	0.33
-0.19	-0.05	0.10	-0.06	-0.35	0.07	-0.29	-0.46	0.25	-0.71	0.33	1.00
